timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
1777227264569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039246865,0.008568003,8.2290764e-11,-0.0046926355,0.00047901203,-9.805214,0.0009161275,0.0017044233,-0.0014487597,0.0009794805,0.0013021652,0.0016828895,6.542812e-05,9.078307e-05,3.4741548e-05,0.0,0.0
1777227265569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037270647,0.0077597545,6.608722e-11,0.0002873044,-0.01733385,-9.817472,0.00070307445,0.0027909928,0.0012144014,0.00081938005,0.00090056716,0.0014804096,4.6212368e-05,3.75492e-05,4.7862537e-05,0.0,0.0
1777227266569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03660601,0.007910915,6.917681e-11,0.015227123,0.0071827765,-9.7979355,0.0005113268,-0.001171791,-0.00038349515,0.0007546826,0.0011598156,0.001114392,5.2684438e-05,5.0781782e-05,6.516806e-05,0.0,0.0
1777227267569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03889829,0.008055614,7.394704e-11,0.009959879,0.0077573843,-9.793242,0.0043036686,0.00010652651,-0.002130529,0.001266186,0.00055854575,0.0010962894,3.9810267e-05,4.3405656e-05,5.794513e-05,0.0,0.0
1777227268569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03824044,0.008401793,7.282088e-11,-0.014652514,0.014844222,-9.803586,0.0025353297,-0.00083090615,-0.0029614354,0.0011518478,0.00079582067,0.0013459002,4.851883e-05,8.199035e-05,3.702436e-05,0.0,0.0
1777227269569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03902089,0.007886844,6.822844e-11,0.0158975,0.019632624,-9.799467,-0.0009800433,0.002641856,-0.0015978967,0.0014134081,0.0005350055,0.0016021676,2.4745004e-05,5.5190434e-05,3.9268405e-05,0.0,0.0
1777227270569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037481926,0.008200312,8.5968975e-11,0.0066079963,0.004118197,-9.793339,-0.0002556634,-0.0031318772,0.0054541538,0.00067032373,0.0010153259,0.000639181,3.875113e-05,5.315349e-05,4.6462017e-05,0.0,0.0
1777227271569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039121814,0.00803193,7.5026076e-11,-0.012545616,0.011205036,-9.809619,-0.0019174761,-0.002087918,0.0005539375,0.0011260337,0.00068677514,0.001694966,6.473022e-05,6.252968e-05,3.6324578e-05,0.0,0.0
1777227272569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039012432,0.008400589,9.52129e-11,-0.0011492167,-0.017525386,-9.81096,0.0032810143,-0.0019600866,-0.0036432045,0.000643497,0.0010545914,0.0008101597,9.829347e-05,6.0137165e-05,5.325657e-05,0.0,0.0
1777227273569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039521344,0.009027171,8.383092e-11,-0.008810663,0.008619297,-9.814312,-0.0024074977,0.0031531828,0.0029827403,0.0014300507,0.0013738177,0.00056558405,0.00010811507,9.146678e-05,4.9552425e-05,0.0,0.0
