timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1777316745574000,1777316745494000,0.99997073,0.0010634218,0.0015373072,0.0074191154,0.0024571628,-0.0046095913,-0.0071099,0.00047382934,-0.0009545171,-0.058509544,2.908104e-06,3.1504536e-05,-3.8595635e-06,-2.2088834e-05,-2.4259602e-05,-0.0007087083,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9316246e-07,0.00010152891,0.00010152705,0.0011368555,0.0012811739,0.0012811384,0.007881796,0.00012085545,0.00012085321,0.20814468,5.8921046e-10,5.890065e-10,5.6207746e-08,2.2127992e-06,2.212846e-06,6.678384e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745582000,1777316745502000,0.99997073,0.0010369068,0.0014845937,0.007445652,0.0025426087,-0.004627268,-0.007110499,0.00049382844,-0.0009914646,-0.058566425,2.908104e-06,3.1504536e-05,-3.8595635e-06,-2.2088834e-05,-2.4259602e-05,-0.0007087083,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9384214e-07,0.000101615165,0.00010161347,0.0011431216,0.0013134845,0.0013134499,0.007928222,0.0001260861,0.00012608372,0.20827384,5.8921457e-10,5.890106e-10,5.620775e-08,2.2127992e-06,2.212846e-06,6.6783876e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745590000,1777316745510000,0.9999707,0.0010226874,0.001490598,0.0074381414,0.0025532513,-0.0048271697,-0.007082455,0.0005142119,-0.0010292823,-0.0586232,2.908104e-06,3.1504536e-05,-3.8595635e-06,-2.2088834e-05,-2.4259602e-05,-0.0007087083,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.939945e-07,0.00010170198,0.00010170019,0.0011494162,0.0013462893,0.0013462511,0.007974783,0.00013152962,0.0001315271,0.20840433,5.892187e-10,5.890147e-10,5.6207757e-08,2.2127992e-06,2.212846e-06,6.678392e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745598000,1777316745518000,0.999971,0.0010208966,0.0014706065,0.0074199354,0.002587679,-0.0049606278,-0.0069968924,0.0005347756,-0.0010684335,-0.058679517,2.908104e-06,3.1504536e-05,-3.8595635e-06,-2.2088834e-05,-2.4259602e-05,-0.0007087083,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.939501e-07,0.00010178897,0.00010178728,0.0011557391,0.0013795756,0.0013795353,0.008021476,0.00013719194,0.00013718924,0.20853615,5.892228e-10,5.8901883e-10,5.620776e-08,2.2127992e-06,2.212846e-06,6.6783954e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745606000,1777316745526000,0.9999709,0.001050848,0.0014811297,0.0074115824,0.002377683,-0.0047176224,-0.005989789,0.00053266867,-0.0010634672,-0.057483908,2.8359307e-06,3.146964e-05,-3.860247e-06,-2.2234724e-05,-2.3985209e-05,-0.00071163196,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9409674e-07,0.00010163887,0.00010163728,0.0011620888,0.001365236,0.0013652007,0.006714032,0.00013966108,0.0001396584,0.20721383,5.802461e-10,5.800426e-10,5.620776e-08,2.212657e-06,2.2127037e-06,5.886028e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745614000,1777316745534000,0.99997103,0.0010480306,0.001463795,0.0074088266,0.0025737628,-0.0047243307,-0.006179251,0.00055247446,-0.001101235,-0.057532582,2.8359307e-06,3.146964e-05,-3.860247e-06,-2.2234724e-05,-2.3985209e-05,-0.00071163196,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9431681e-07,0.00010172501,0.00010172348,0.0011684677,0.001398752,0.0013987181,0.0067544323,0.00014557046,0.00014556761,0.20732579,5.8025024e-10,5.800468e-10,5.6207764e-08,2.2126571e-06,2.212704e-06,5.886032e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745622000,1777316745542000,0.999971,0.0010407899,0.0014703848,0.007416754,0.0026089898,-0.0047678943,-0.006152831,0.00057320547,-0.0011392039,-0.05758191,2.8359307e-06,3.146964e-05,-3.860247e-06,-2.2234724e-05,-2.3985209e-05,-0.00071163196,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9473711e-07,0.000101811536,0.00010180995,0.0011748743,0.0014326941,0.0014326604,0.0067949495,0.00015170898,0.00015170597,0.20743887,5.8025434e-10,5.800509e-10,5.6207767e-08,2.2126571e-06,2.212704e-06,5.8860355e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745630000,1777316745550000,0.9999713,0.0010281875,0.0014721908,0.0073767486,0.0023675475,-0.004917934,-0.006160988,0.0005931125,-0.001177947,-0.056987323,2.8359339e-06,3.1469644e-05,-3.860247e-06,-2.2234532e-05,-2.3985438e-05,-0.0007116851,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9432953e-07,0.00010189834,0.00010189668,0.0011813099,0.0014671746,0.001467138,0.0068314536,0.00015808265,0.00015807946,0.20409508,5.8025845e-10,5.80055e-10,5.620777e-08,2.2126571e-06,2.212704e-06,5.8836836e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745638000,1777316745558000,0.99997133,0.0009912229,0.0014625936,0.0073740506,0.002136489,-0.0051193633,-0.0061722994,0.00061112863,-0.0012180962,-0.057036657,2.8359339e-06,3.1469644e-05,-3.860247e-06,-2.2234532e-05,-2.3985438e-05,-0.0007116851,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9455184e-07,0.00010198537,0.0001019836,0.0011877731,0.0015021672,0.001502127,0.0068721864,0.00016469776,0.0001646944,0.20420852,5.8026256e-10,5.800591e-10,5.6207778e-08,2.2126571e-06,2.212704e-06,5.883687e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745646000,1777316745566000,0.9999714,0.000971889,0.001444609,0.0073654596,0.0021305971,-0.005551791,-0.0065150782,0.000628197,-0.0012607808,-0.057087407,2.8359339e-06,3.1469644e-05,-3.860247e-06,-2.2234532e-05,-2.3985438e-05,-0.0007116851,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9467019e-07,0.000102072656,0.000102070895,0.0011942644,0.0015378289,0.0015377788,0.0069130366,0.00017156069,0.00017155716,0.20432311,5.8026667e-10,5.800632e-10,5.620778e-08,2.2126571e-06,2.212704e-06,5.8836907e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745654000,1777316745574000,0.9999714,0.00095352734,0.0014415343,0.007368599,0.0022684364,-0.0055013117,-0.0066849515,0.0006457931,-0.0013049933,-0.057140205,2.8359339e-06,3.1469644e-05,-3.860247e-06,-2.2234532e-05,-2.3985438e-05,-0.0007116851,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9500334e-07,0.0001021603,0.000102158476,0.0012007836,0.0015739367,0.0015738892,0.0069540036,0.00017867824,0.0001786745,0.20443887,5.802708e-10,5.800673e-10,5.6207785e-08,2.2126571e-06,2.212704e-06,5.8836946e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745662000,1777316745582000,0.9999714,0.0009591375,0.001437573,0.0073690405,0.0022188702,-0.005321371,-0.0064517856,0.0006637423,-0.0013482841,-0.05719275,2.8359339e-06,3.1469644e-05,-3.860247e-06,-2.2234532e-05,-2.3985438e-05,-0.0007116851,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9529415e-07,0.00010224824,0.00010224645,0.0012073308,0.0016104007,0.0016103592,0.006995088,0.00018605683,0.00018605286,0.20455578,5.8027494e-10,5.800715e-10,5.620779e-08,2.2126574e-06,2.2127042e-06,5.883698e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745670000,1777316745590000,0.99997103,0.0011160296,0.0014998011,0.007385714,0.0009013614,-0.0028004025,-0.0059087905,0.00023178064,-0.0004732767,-0.057242565,1.9712418e-06,3.1062045e-05,-3.8646026e-06,-2.399306e-05,-2.0813613e-05,-0.00071170303,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9592038e-07,9.916687e-05,9.9165874e-05,0.0012138941,0.0008371109,0.00083710736,0.0070362897,6.595197e-05,6.595148e-05,0.20467387,4.682537e-10,4.6806403e-10,5.6207746e-08,2.2110457e-06,2.211092e-06,5.883698e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745678000,1777316745598000,0.99997085,0.001107799,0.0014852653,0.0074064047,0.0011766199,-0.0025994822,-0.0054794913,0.00024009235,-0.0004948763,-0.057661794,1.9712397e-06,3.106204e-05,-3.8646026e-06,-2.3993172e-05,-2.0813477e-05,-0.00071167084,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9656679e-07,9.923646e-05,9.92355e-05,0.0012204973,0.00086096843,0.00086096616,0.0070731035,6.866622e-05,6.866568e-05,0.20142575,4.682578e-10,4.6806814e-10,5.620775e-08,2.2110457e-06,2.211092e-06,5.8812027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745686000,1777316745606000,0.999971,0.0011014598,0.0014958176,0.007391435,0.0017267456,-0.0025342025,-0.005119078,0.00025170582,-0.000515411,-0.057704188,1.9712397e-06,3.106204e-05,-3.8646026e-06,-2.3993172e-05,-2.0813477e-05,-0.00071167084,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9659848e-07,9.93064e-05,9.930535e-05,0.0012271291,0.0008852286,0.00088522694,0.007114519,7.151259e-05,7.1512026e-05,0.20154423,4.6826193e-10,4.6807225e-10,5.6207757e-08,2.2110457e-06,2.211092e-06,5.8812066e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745694000,1777316745614000,0.9999687,0.0010812165,0.0014951371,0.007688855,0.001686518,-0.00255575,-0.0053364877,0.00026553558,-0.00053575373,-0.057746015,1.9791219e-06,3.1055635e-05,-5.585095e-06,-2.3999784e-05,-2.0819449e-05,-0.00071167084,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9313163e-07,9.9376244e-05,9.9375175e-05,0.0011696479,0.00091002375,0.00091002235,0.007156052,7.4495314e-05,7.449474e-05,0.2016639,4.682267e-10,4.680504e-10,5.4333075e-08,2.2110457e-06,2.211092e-06,5.8812102e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745702000,1777316745622000,0.99996895,0.0011027784,0.0014782081,0.007673076,0.0018177764,-0.0023826722,-0.005429469,0.00027955277,-0.00055550743,-0.05778908,1.9791219e-06,3.1055635e-05,-5.585095e-06,-2.3999784e-05,-2.0819449e-05,-0.00071167084,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.931409e-07,9.944652e-05,9.9445635e-05,0.0011759887,0.0009351803,0.0009351802,0.007197703,7.761894e-05,7.7618344e-05,0.20178476,4.682308e-10,4.680545e-10,5.433308e-08,2.2110457e-06,2.211092e-06,5.8812137e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745710000,1777316745630000,0.99996895,0.0011310217,0.0014948752,0.007667443,0.0018534944,-0.0024382626,-0.0049672276,0.00029423786,-0.00057479116,-0.057830665,1.9791219e-06,3.1055635e-05,-5.585095e-06,-2.3999784e-05,-2.0819449e-05,-0.00071167084,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9334617e-07,9.951719e-05,9.951634e-05,0.0011823563,0.0009605853,0.00096058525,0.0072394703,8.088779e-05,8.088718e-05,0.20190684,4.682349e-10,4.680586e-10,5.4333082e-08,2.211046e-06,2.2110921e-06,5.8812176e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745718000,1777316745638000,0.99996895,0.0011483411,0.0014778984,0.0076644514,0.0018791565,-0.002486175,-0.0045432374,0.00030916848,-0.0005944889,-0.057868708,1.9791219e-06,3.1055635e-05,-5.585095e-06,-2.3999784e-05,-2.0819449e-05,-0.00071167084,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.935736e-07,9.958793e-05,9.9587254e-05,0.0011887512,0.0009863961,0.0009863962,0.007281355,8.4306084e-05,8.430546e-05,0.20203012,4.68239e-10,4.680627e-10,5.4333086e-08,2.211046e-06,2.2110921e-06,5.8812212e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745726000,1777316745646000,0.99996895,0.0011634408,0.0014731509,0.0076652053,0.0021546644,-0.0022286132,-0.004607217,0.00032530428,-0.00061334803,-0.057273503,1.9791255e-06,3.105564e-05,-5.585095e-06,-2.3999588e-05,-2.0819682e-05,-0.0007117276,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9387457e-07,9.965896e-05,9.9658384e-05,0.0011951731,0.0010127501,0.0010127518,0.007318447,8.7878376e-05,8.787772e-05,0.19887275,4.6824317e-10,4.6806686e-10,5.433309e-08,2.211046e-06,2.2110921e-06,5.8785755e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
