timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
1777316771446000,1777316771324000,0.0010007155,8.760744e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771494000,1777316771376000,0.0004718666,0.00018785989,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771542000,1777316771428000,0.0009970526,0.0008857355,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771598000,1777316771480000,0.0030834104,0.0019828142,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771654000,1777316771532000,0.002297877,0.0020701597,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771702000,1777316771584000,0.0008709427,0.0012598343,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771750000,1777316771636000,0.0009096464,0.00035301462,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771806000,1777316771688000,0.00097396114,0.00034767354,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771862000,1777316771740000,0.0009688965,0.0001475014,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771910000,1777316771792000,0.0009638582,0.00025609764,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771966000,1777316771844000,0.0009588461,0.0005478463,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772014000,1777316771896000,0.00095386006,0.0002428735,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772062000,1777316771948000,0.0008619159,0.00055794994,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772118000,1777316772000000,0.0023017772,0.00054663594,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772166000,1777316772052000,0.0022555212,0.00054379343,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772222000,1777316772104000,0.0015174692,0.0011391102,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772278000,1777316772156000,0.0022359467,0.0009348225,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772326000,1777316772208000,0.0021317382,0.0005301811,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772382000,1777316772260000,0.00047922906,0.0018274729,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772430000,1777316772312000,0.00096608605,0.0010153579,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772478000,1777316772364000,0.0008110821,0.00091242173,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772534000,1777316772416000,0.0015774105,0.0002947154,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772582000,1777316772468000,0.0017794166,0.0004915471,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772638000,1777316772520000,0.00080164406,0.00048899103,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772686000,1777316772572000,0.002798049,0.00018737602,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772742000,1777316772624000,0.0015446035,0.0009859621,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316772790000,1777316772676000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316772846000,1777316772728000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316772902000,1777316772780000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316772950000,1777316772832000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773006000,1777316772884000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773054000,1777316772936000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773102000,1777316772988000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773158000,1777316773040000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773206000,1777316773092000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773262000,1777316773144000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773310000,1777316773196000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773366000,1777316773248000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773422000,1777316773300000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773470000,1777316773352000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773526000,1777316773404000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773574000,1777316773456000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773630000,1777316773508000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773678000,1777316773560000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773726000,1777316773612000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773782000,1777316773664000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773830000,1777316773716000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773886000,1777316773768000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773934000,1777316773820000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316773990000,1777316773872000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774038000,1777316773924000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774094000,1777316773976000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774150000,1777316774028000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774198000,1777316774080000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774246000,1777316774132000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774302000,1777316774184000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774350000,1777316774236000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774406000,1777316774288000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774454000,1777316774340000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1777316774510000,1777316774392000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
