timestamp,geofence_violation_reason,primary_geofence_breached,primary_geofence_action,home_required
1777316808290000,2,1,2,0
1777316808510000,2,1,2,0
1777316808766000,2,1,2,0
1777316809014000,2,1,2,0
1777316809262000,2,1,2,0
1777316809470000,2,1,2,0
1777316809722000,2,1,2,0
1777316809974000,2,1,2,0
1777316810222000,2,1,2,0
1777316810430000,2,1,2,0
1777316810678000,2,1,2,0
1777316810886000,2,1,2,0
1777316811134000,2,1,2,0
1777316811382000,2,0,2,0
1777316811598000,2,0,2,0
1777316811846000,2,0,2,0
1777316812102000,2,0,2,0
1777316812350000,2,0,2,0
1777316812606000,2,1,2,0
1777316812830000,2,1,2,0
1777316813086000,2,1,2,0
1777316813334000,2,1,2,0
1777316813582000,2,1,2,0
1777316813790000,2,1,2,0
1777316814038000,2,1,2,0
1777316814294000,2,1,2,0
1777316814542000,2,1,2,0
1777316814750000,2,1,2,0
1777316814998000,2,1,2,0
1777316815246000,2,1,2,0
1777316815502000,2,0,2,0
1777316815750000,2,0,2,0
1777316815998000,2,0,2,0
1777316816206000,2,0,2,0
1777316816458000,2,0,2,0
1777316816714000,2,0,2,0
1777316816962000,2,1,2,0
1777316817214000,2,1,2,0
1777316817462000,2,1,2,0
1777316817718000,2,1,2,0
1777316817966000,2,1,2,0
1777316818222000,2,1,2,0
1777316818470000,2,1,2,0
1777316818726000,2,1,2,0
1777316818974000,2,1,2,0
1777316819230000,2,1,2,0
1777316819478000,2,1,2,0
1777316819734000,2,0,2,0
1777316819958000,2,0,2,0
1777316820214000,2,0,2,0
1777316820462000,2,0,2,0
1777316820710000,2,0,2,0
1777316820918000,2,0,2,0
1777316821170000,2,1,2,0
1777316821422000,2,1,2,0
1777316821670000,2,1,2,0
1777316821878000,2,1,2,0
1777316822126000,2,1,2,0
1777316822374000,2,1,2,0
1777316822630000,2,1,2,0
1777316822838000,2,1,2,0
1777316823086000,2,1,2,0
1777316823334000,2,1,2,0
1777316823582000,2,1,2,0
1777316823790000,2,0,2,0
1777316824018000,2,0,2,0
1777316824262000,2,0,2,0
1777316824518000,2,0,2,0
1777316824766000,2,0,2,0
1777316824974000,2,1,2,0
1777316825206000,2,1,2,0
1777316825454000,2,1,2,0
1777316825710000,2,1,2,0
1777316825958000,2,1,2,0
1777316826214000,2,1,2,0
1777316826462000,2,1,2,0
