timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
1777225998465000,0.009785803,-0.04828121,-1.8276837,-0.041024003,0.00464046,-1.502641,-0.056968518,0.0066559436,0.13201016,-0.0028657718,0.00033482377,-0.49326935,0.018760761,0.0
1777225998561000,0.009775815,-0.04824008,-1.975558,-0.04291332,0.0035610653,-1.5246608,-0.06552461,0.006814249,0.0472973,-0.0033267217,0.0003459633,-0.49758852,0.018716218,0.0
1777225998665000,0.009766614,-0.04820219,-2.090821,-0.044814844,0.002142848,-1.5021675,-0.062190074,0.0035250268,0.1410585,-0.003132437,0.00017755122,-0.492808,0.018683692,0.0
1777225998769000,0.0097551355,-0.048154946,-2.251532,-0.046564575,0.00024661818,-1.5234132,-0.066077694,-0.013254948,0.06776136,-0.003345049,-0.0006710048,-0.49654514,0.018683977,0.0
1777225998865000,0.009747498,-0.04812351,-2.359792,-0.048103135,-0.0020159616,-1.5016987,-0.07133377,-0.009854258,0.1578247,-0.0035772717,-0.00049417483,-0.4919532,0.018567309,0.0
1777225998969000,0.009736063,-0.048076436,-2.5233393,-0.049772825,-0.004239399,-1.5233698,-0.061347842,-0.012687661,0.07690698,-0.0031019205,-0.00064152404,-0.49607885,0.018855864,0.0
1777225999065000,0.009728453,-0.048045103,-2.633126,-0.05106016,-0.00599467,-1.5013511,-0.057502806,-0.01393161,0.16628289,-0.0028804988,-0.0006978787,-0.49152192,0.019121446,0.0
1777225999161000,0.009718573,-0.04800443,-2.788367,-0.051834457,-0.0074122413,-1.5239627,-0.06433081,-0.01756329,0.07927966,-0.0032581526,-0.0008895253,-0.49595785,0.019115286,0.0
1777225999265000,0.00970946,-0.047966905,-2.9099298,-0.052167192,-0.008453918,-1.5010552,-0.052455664,-0.01649222,0.17733252,-0.0026324426,-0.00082764786,-0.49095857,0.018994754,0.0
1777225999361000,0.009699597,-0.047926296,-3.066866,-0.051625088,-0.009181973,-1.5238056,-0.03949277,-0.0036776662,0.09001678,-0.0019934634,-0.0001856363,-0.4954104,0.018834494,0.0
1777225999465000,0.009690492,-0.047888793,-3.1898212,-0.050520666,-0.009834485,-1.5008259,-0.037842102,-0.011414121,0.18783641,-0.0018974962,-0.0005723322,-0.49042302,0.018658128,0.0
1777225999569000,0.009679113,-0.047841933,-3.3589067,-0.049068898,-0.010573664,-1.523366,-0.036145933,-0.013397625,0.1002301,-0.0018267706,-0.00067709934,-0.49488968,0.018666038,0.0
1777225999665000,0.009671483,-0.04781051,-3.4726083,-0.04737856,-0.011280995,-1.5013254,-0.023087684,-0.0062666535,0.19895977,-0.0011541793,-0.000313277,-0.4898559,0.018666038,0.0
1777225999761000,0.009661353,-0.04776881,-3.6323135,-0.045325,-0.011867565,-1.5245864,-0.021145664,-0.008692015,0.11089024,-0.0010589915,-0.00043530294,-0.49434617,0.018666038,0.0
1777225999865000,0.009652009,-0.04773034,-3.7572763,-0.042765282,-0.012613079,-1.5011423,-0.016553525,-0.016598307,0.20081556,-0.0008186286,-0.00082084315,-0.48976126,0.018666038,0.0
