timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
1777227537985000,4.570033e-05,-1.8573337e-05,-4.5251978e-05
1777227538185000,1.696391e-05,-3.2898522e-05,-2.5530105e-06
1777227538385000,2.0328382e-05,-4.040977e-05,-7.7808785e-05
1777227538585000,4.759154e-05,-6.639516e-06,1.5968573e-05
1777227538785000,-1.3174943e-05,-1.5429483e-05,-4.000248e-06
1777227538985000,1.9733554e-05,1.1843735e-05,-4.9633625e-05
1777227539185000,3.614496e-05,3.5836718e-05,-8.8984496e-05
1777227539385000,-1.1376046e-05,3.7204143e-05,6.435099e-06
1777227539585000,1.9644765e-05,-7.302687e-05,9.412526e-06
1777227539785000,-1.8891402e-05,2.7775006e-05,4.37231e-05
1777227539985000,1.5925569e-05,-4.317123e-05,3.6177822e-05
1777227540185000,-1.5181311e-06,-3.8973536e-05,1.955801e-05
1777227540385000,-4.5578317e-06,-1.5661322e-05,-1.8185054e-05
1777227540585000,2.1458069e-05,5.924002e-05,-1.0316195e-05
1777227540785000,8.08316e-05,-4.175739e-05,3.020536e-06
1777227540981000,5.575034e-05,-2.3265238e-05,-3.5198438e-05
1777227541185000,-7.6327e-06,2.2342716e-05,-1.6763877e-05
1777227541385000,-2.6602249e-05,1.6493977e-05,-5.3326658e-05
1777227541585000,-7.9304526e-05,3.537505e-05,-2.3183717e-05
1777227541785000,3.6645088e-06,7.5773976e-05,-7.648633e-06
1777227541985000,-3.782491e-05,3.923237e-05,3.9589788e-05
1777227542185000,-4.7713933e-05,3.2938267e-05,5.7135407e-05
1777227542381000,-9.6996475e-05,6.1702405e-05,4.4819935e-05
1777227542585000,-8.407632e-05,5.7647794e-05,3.837266e-05
1777227542785000,8.832461e-06,-3.1900683e-05,-1.2306784e-05
1777227542985000,8.021181e-06,-4.5021166e-05,-3.748565e-05
1777227543185000,2.1576558e-05,-2.184652e-05,-5.3629916e-05
1777227543385000,7.4073214e-05,-6.344777e-05,-3.7979287e-05
1777227543585000,1.3561085e-05,-5.155568e-05,-9.195145e-05
1777227543785000,9.5333344e-05,7.0818833e-06,-6.4151776e-05
1777227543985000,6.663225e-05,-1.8304421e-05,-2.9671119e-05
1777227544185000,8.983937e-06,-2.415507e-05,6.27554e-06
1777227544385000,5.6959416e-06,-1.8585084e-05,6.36342e-05
1777227544585000,5.15031e-05,-4.8471215e-05,7.063876e-05
1777227544785000,-5.2691566e-06,-7.994905e-06,4.1663694e-05
