timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1777227508701000,1777227508549000,0.99998444,0.0008584658,-9.820827e-05,-0.005513375,-0.012237913,0.0093146,-1.4956907,0.0,0.0,-494.34082,0.0007497087,0.00010431749,0.0007139869,-0.0024846976,-0.0042534526,0.008816469,0.21500942,0.010864653,0.43064043,1.7492397e-05,0.00017618418,-0.00097508874,0.0,0.0,-488.01572,9.4491115e-06,9.329463e-06,0.00029200217,0.0032170145,0.0032226408,0.0024265272,0.007234708,0.007240187,0.012758272,1.4770366e-07,1.4760319e-07,3.097676e-07,8.270094e-05,9.096403e-05,8.596201e-06,1.6642384e-06,3.8403764e-06,0.00010047234,1.1748706e-06,1.386488e-06,9.964915e-05,1.0,1.0,1.4817214,25
1777227508717000,1777227508565000,0.99998456,0.00076581945,-0.00013756118,-0.0055034133,-0.011670453,0.0095556155,-1.496229,0.0,0.0,-494.36475,0.0007497087,0.00010431749,0.0007139869,-0.0024846976,-0.0042534526,0.008816469,0.21500942,0.010864653,0.43064043,1.7492397e-05,0.00017618418,-0.00097508874,0.0,0.0,-488.01572,9.493404e-06,9.3737e-06,0.00029221046,0.003265233,0.0032710365,0.0024428687,0.007332595,0.0073382654,0.012871744,1.4783167e-07,1.477312e-07,3.098956e-07,8.270209e-05,9.096518e-05,8.5973525e-06,1.6643664e-06,3.8405046e-06,0.00010047247,1.174872e-06,1.3864893e-06,9.964915e-05,1.0,1.0,1.4849215,25
1777227508725000,1777227508573000,0.99998474,0.0007367811,-0.00016186762,-0.005489912,-0.011197125,0.009987455,-1.4957243,0.0,0.0,-494.3767,0.0007497087,0.00010431749,0.0007139869,-0.0024846976,-0.0042534526,0.008816469,0.21500942,0.010864653,0.43064043,1.7492397e-05,0.00017618418,-0.00097508874,0.0,0.0,-488.01572,9.515578e-06,9.395847e-06,0.00029231465,0.0032893622,0.003295256,0.0024510412,0.0073822862,0.0073880544,0.012928953,1.4789568e-07,1.477952e-07,3.099596e-07,8.270267e-05,9.0965754e-05,8.597928e-06,1.6644304e-06,3.8405688e-06,0.000100472535,1.1748726e-06,1.38649e-06,9.964915e-05,1.0,1.0,1.4865215,25
1777227508733000,1777227508581000,0.99998474,0.0007232988,-0.00016602174,-0.0054726643,-0.010900559,0.010169199,-1.4954163,0.0,0.0,-494.38867,0.0007497087,0.00010431749,0.0007139869,-0.0024846976,-0.0042534526,0.008816469,0.21500942,0.010864653,0.43064043,1.7492397e-05,0.00017618418,-0.00097508874,0.0,0.0,-488.01572,9.537774e-06,9.418014e-06,0.00029241896,0.0033136338,0.0033196164,0.0024592148,0.007432481,0.007438348,0.012986479,1.4795968e-07,1.4785921e-07,3.100236e-07,8.270324e-05,9.096633e-05,8.598504e-06,1.6644944e-06,3.840633e-06,0.0001004726,1.1748733e-06,1.3864907e-06,9.964915e-05,1.0,1.0,1.4881215,25
1777227508741000,1777227508589000,0.9999849,0.0007174063,-0.0001323592,-0.0054414067,-0.011758664,0.009954004,-1.4952885,0.0,0.0,-494.4005,0.00075013674,0.00010290529,0.0007139441,-0.0024839945,-0.004253599,0.008815834,0.21500963,0.0108648185,0.43064028,1.754359e-05,0.00017624143,-0.00097505737,0.0,0.0,-488.01572,9.421974e-06,9.303491e-06,0.0002925001,0.0031819793,0.0031874764,0.0024153946,0.007163038,0.0071682646,0.012687426,1.4763306e-07,1.4753651e-07,3.1007664e-07,8.270372e-05,9.09668e-05,8.595394e-06,1.6645511e-06,3.8406884e-06,0.000100472666,1.1748734e-06,1.3864901e-06,9.964915e-05,1.0,1.0,1.4897215,25
1777227508757000,1777227508605000,0.99998546,0.0005885048,-0.00017689574,-0.005356883,-0.0115856305,0.010646942,-1.4953536,0.0,0.0,-494.42453,0.00075013674,0.000102905295,0.0007139441,-0.0024840091,-0.0042536003,0.008816046,0.21500963,0.0108648185,0.43064028,1.7544211e-05,0.00017624145,-0.00097505766,0.0,0.0,-488.01572,9.466223e-06,9.3476865e-06,0.00029270884,0.0032297987,0.0032354216,0.00243072,0.007259469,0.0072648805,0.012786831,1.4776107e-07,1.4766452e-07,3.1020465e-07,8.270487e-05,9.096795e-05,8.596476e-06,1.6646791e-06,3.8408166e-06,0.0001004728,1.1748748e-06,1.3864915e-06,9.964915e-05,1.0,1.0,1.4929216,25
1777227508765000,1777227508613000,0.9999857,0.00052384444,-0.00018876584,-0.0053273984,-0.011135767,0.010622479,-1.495108,0.0,0.0,-494.4365,0.00075013674,0.000102905295,0.0007139441,-0.0024840091,-0.0042536003,0.008816046,0.21500963,0.0108648185,0.43064028,1.7544211e-05,0.00017624145,-0.00097505766,0.0,0.0,-488.01572,9.488374e-06,9.369812e-06,0.00029281323,0.0032538066,0.0032595338,0.0024388907,0.007308423,0.0073139286,0.01284357,1.4782508e-07,1.4772853e-07,3.1026866e-07,8.270545e-05,9.0968526e-05,8.597051e-06,1.6647431e-06,3.8408807e-06,0.00010047286,1.1748755e-06,1.3864922e-06,9.964915e-05,1.0,1.0,1.4945216,25
1777227508773000,1777227508621000,0.99998593,0.00045970522,-0.00024066222,-0.005272386,-0.011105337,0.010944422,-1.4948192,0.0,0.0,-494.44846,0.00075017585,0.000102852726,0.00071374065,-0.0024840483,-0.0042535984,0.008816046,0.21500935,0.010864816,0.43064016,1.7435445e-05,0.00017624632,-0.0009750483,0.0,0.0,-488.01572,9.506399e-06,9.385202e-06,0.00029209128,0.0032769684,0.0032831542,0.0024470626,0.00735749,0.0073632803,0.0129006235,1.4787418e-07,1.4777119e-07,3.098554e-07,8.270581e-05,9.096908e-05,8.597627e-06,1.664453e-06,3.840945e-06,0.000100472505,1.1748281e-06,1.3864855e-06,9.9649136e-05,1.0,1.0,1.4961216,25
1777227508781000,1777227508629000,0.9999861,0.00046211208,-0.00026087742,-0.0052418252,-0.01102147,0.0110236425,-1.4945306,0.0,0.0,-494.46042,0.00075017585,0.000102852726,0.00071374065,-0.0024840483,-0.0042535984,0.008816046,0.21500935,0.010864816,0.43064016,1.7435445e-05,0.00017624632,-0.0009750483,0.0,0.0,-488.01572,9.528583e-06,9.4073575e-06,0.0002921954,0.0033011818,0.0033074478,0.0024552355,0.0074074324,0.0074133244,0.012957994,1.4793818e-07,1.478352e-07,3.0991941e-07,8.2706385e-05,9.0969654e-05,8.598203e-06,1.664517e-06,3.841009e-06,0.00010047257,1.1748288e-06,1.3864861e-06,9.9649136e-05,1.0,1.0,1.4977217,25
1777227508797000,1777227508645000,0.99998635,0.0005354478,-0.00023057341,-0.005193711,-0.011210431,0.011611475,-1.4943442,0.0,0.0,-494.48392,0.00075081876,0.000101574005,0.0007137404,-0.0024832715,-0.0042536454,0.008814785,0.21500951,0.010864971,0.43064004,1.747257e-05,0.0001762944,-0.00097501656,0.0,0.0,-488.01572,9.433966e-06,9.314047e-06,0.0002923801,0.0031928013,0.0031986323,0.002419367,0.0071862154,0.007191549,0.012715138,1.4767264e-07,1.4757374e-07,3.100362e-07,8.270743e-05,9.09707e-05,8.595653e-06,1.6646374e-06,3.841128e-06,0.0001004727,1.1748295e-06,1.3864862e-06,9.9649136e-05,1.0,1.0,1.5009217,25
1777227508805000,1777227508653000,0.9999866,0.0005205206,-0.00020329862,-0.005148749,-0.010752905,0.011785117,-1.4944052,0.0,0.0,-494.49594,0.00075081876,0.00010157401,0.0007137404,-0.0024832827,-0.0042536464,0.008814946,0.21500951,0.010864971,0.43064004,1.7473045e-05,0.00017629442,-0.00097501674,0.0,0.0,-488.01572,9.45609e-06,9.336143e-06,0.0002924844,0.0032167018,0.0032226336,0.0024265286,0.0072344174,0.007239846,0.012758271,1.4773664e-07,1.4763775e-07,3.101002e-07,8.270801e-05,9.0971276e-05,8.596158e-06,1.6647014e-06,3.841192e-06,0.00010047277,1.1748302e-06,1.3864869e-06,9.9649136e-05,1.0,1.0,1.5025218,25
1777227508813000,1777227508661000,0.9999869,0.00042972862,-0.00022090708,-0.0051064887,-0.010308837,0.012224112,-1.4942693,0.0,0.0,-494.5079,0.00075081876,0.00010157401,0.0007137404,-0.0024832827,-0.0042536464,0.008814946,0.21500951,0.010864971,0.43064004,1.7473045e-05,0.00017629442,-0.00097501674,0.0,0.0,-488.01572,9.478234e-06,9.3582585e-06,0.0002925887,0.0032406882,0.0032467095,0.0024346989,0.0072831106,0.0072886357,0.01281485,1.4780065e-07,1.4770175e-07,3.101642e-07,8.270858e-05,9.097185e-05,8.596734e-06,1.6647654e-06,3.8412563e-06,0.00010047283,1.1748309e-06,1.3864876e-06,9.9649136e-05,1.0,1.0,1.5041218,25
1777227508821000,1777227508669000,0.99998724,0.00034136037,-0.00028434137,-0.005044541,-0.010143358,0.012262306,-1.4946462,0.0,0.0,-494.51987,0.00075081876,0.00010157401,0.0007137404,-0.0024832827,-0.0042536464,0.008814946,0.21500951,0.010864971,0.43064004,1.7473045e-05,0.00017629442,-0.00097501674,0.0,0.0,-488.01572,9.500398e-06,9.380395e-06,0.00029269312,0.0032648772,0.0032709835,0.00244287,0.0073322994,0.007337922,0.012871743,1.4786465e-07,1.4776576e-07,3.1022822e-07,8.270916e-05,9.0972426e-05,8.59731e-06,1.6648294e-06,3.8413204e-06,0.0001004729,1.1748316e-06,1.3864883e-06,9.9649136e-05,1.0,1.0,1.5057218,25
1777227508837000,1777227508685000,0.99998724,0.00022275344,-0.0003980751,-0.0050357454,-0.0099059,0.012149515,-1.4948925,0.0,0.0,-494.5438,0.00075082475,0.00010155545,0.00071371655,-0.0024816336,-0.0042533292,0.008814934,0.21500777,0.010864934,0.4306365,1.675827e-05,0.00017617266,-0.0009755392,0.0,0.0,-488.01572,9.540607e-06,9.4179195e-06,0.00029207612,0.0033124988,0.0033191866,0.0024592155,0.0074317814,0.0074378,0.012986478,1.4797767e-07,1.4787229e-07,3.0987914e-07,8.2710096e-05,9.097355e-05,8.598461e-06,1.6646034e-06,3.8414487e-06,0.000100472615,1.1747849e-06,1.3864824e-06,9.964913e-05,1.0,1.0,1.5089219,25
