timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
1777227528485000,0.0,0.9998218,0.0016990205,-0.018803695,3.1953557e-05,0.0,0.0,-0.49117112
1777227528533000,0.00837758,0.9998839,0.0018497122,-0.015126081,7.823046e-05,0.0,0.0,-0.4908325
1777227528581000,-0.005585052,0.9998231,0.0016897185,-0.018733876,5.398905e-05,0.0,0.0,-0.491243
1777227528629000,-0.002792526,0.9998809,0.0016644867,-0.015344036,3.112609e-05,0.0,0.0,-0.49084833
1777227528685000,0.0,0.99983007,0.00156855,-0.018367786,2.8815688e-05,0.0,0.0,-0.4912772
1777227528733000,0.0,0.9998875,0.0015650766,-0.014914386,2.334478e-05,0.0,0.0,-0.49087095
1777227528781000,0.0,0.99983484,0.0015105775,-0.01811207,2.7364207e-05,0.0,0.0,-0.4912125
1777227528829000,0.0,0.99989796,0.0013827949,-0.0142167015,1.9660787e-05,0.0,0.0,-0.49086374
1777227528885000,0.0,0.9998461,0.0012773026,-0.01749677,2.2352113e-05,0.0,0.0,-0.49137375
1777227528933000,-0.002792526,0.99989814,0.0009654307,-0.014241712,5.2834293e-05,0.0,0.0,-0.4911675
1777227528981000,0.010786297,0.99985087,0.0008410941,-0.017248893,0.00010377836,0.0,0.0,-0.491443
1777227529037000,-0.003176337,0.9999494,0.0006820154,-0.010040077,0.00017223056,0.0,0.0,-0.4906463
1777227529077000,-0.004817432,0.99994737,0.00048225812,-0.010249832,2.1561942e-05,0.0,0.0,-0.4904883
1777227529133000,0.0,0.9999113,9.967978e-05,-0.013315926,1.3274464e-06,0.0,0.0,-0.4903911
1777227529181000,0.002408715,0.99985695,0.00030542474,-0.016913561,0.00017357245,0.0,0.0,-0.49069744
1777227529229000,-0.005585054,0.99990535,0.00016170449,-0.013757842,0.00015247552,0.0,0.0,-0.49054587
1777227529285000,0.005968865,0.99985236,0.00038598743,-0.017180286,3.2137275e-05,0.0,0.0,-0.49122167
1777227529333000,0.002024904,0.9999085,0.00020477574,-0.013523488,0.00017241991,0.0,0.0,-0.49091044
1777227529381000,-0.004433619,0.99985987,0.00013687235,-0.016737767,1.63636e-05,0.0,0.0,-0.4911139
1777227529437000,0.0,0.9999504,5.484276e-05,-0.009955879,5.460349e-07,0.0,0.0,-0.49060345
1777227529477000,0.002792526,0.99995226,-0.00040220204,-0.00976192,9.10059e-05,0.0,0.0,-0.49108535
1777227529533000,0.0,0.9999093,-0.00037050483,-0.013466956,-4.990022e-06,0.0,0.0,-0.4912032
1777227529581000,0.0,0.9998522,-7.14078e-05,-0.017192276,-1.227844e-06,0.0,0.0,-0.49165767
1777227529629000,0.0,0.9999072,-0.0002706385,-0.0136200525,-3.6864526e-06,0.0,0.0,-0.49135596
1777227529677000,0.0,0.9999479,-0.00021688266,-0.010204994,-2.2134016e-06,0.0,0.0,-0.4909535
1777227529733000,-0.002792526,0.99990475,-0.00021650062,-0.013800346,3.609615e-05,0.0,0.0,-0.4909423
1777227529781000,0.0,0.9998476,-0.00030595632,-0.017456362,-5.341698e-06,0.0,0.0,-0.49094465
1777227529829000,0.0,0.99990875,-0.0004559779,-0.013500804,-6.1566293e-06,0.0,0.0,-0.49077374
1777227529877000,0.002792526,0.9999475,-0.00040683566,-0.010238558,9.076536e-05,0.0,0.0,-0.49044764
1777227529933000,-0.00837758,0.99990964,-0.00035701023,-0.013438521,0.00011753674,0.0,0.0,-0.49092093
1777227529981000,0.0,0.99985415,-0.00039625162,-0.01707653,-6.767589e-06,0.0,0.0,-0.491161
1777227530037000,0.002792526,0.9999512,-0.0005647346,-0.009861739,8.936253e-05,0.0,0.0,-0.4906638
1777227530085000,-0.009883443,0.99986064,-0.0004701557,-0.016689813,9.478279e-05,0.0,0.0,-0.4910313
