timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
1777225648681000,1777225648527000,0,47.397742199999996,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225648737000,1777225648579000,0,47.397742099999995,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225648785000,1777225648631000,0,47.397742099999995,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225648841000,1777225648683000,0,47.397742099999995,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225648889000,1777225648735000,0,47.397742,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225648945000,1777225648787000,0,47.397742,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225648993000,1777225648839000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225649049000,1777225648891000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225649097000,1777225648943000,0,47.3977419,8.5455942,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225649153000,1777225648995000,0,47.3977419,8.5455942,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225649201000,1777225649047000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225649257000,1777225649099000,0,47.3977418,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225649305000,1777225649151000,0,47.3977419,8.5455942,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225649361000,1777225649203000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00014,100.00014,10987096000.0,361981470.0,-4.0,-4.0,0,1,0
1777225649409000,1777225649255000,0,47.397742,8.545594,0,98.60489,98.60489,-5240971.0,-951291.2,-99.30003,-99.30003,98.60496,98.60496,11142554000.0,367103200.0,-4.0,-4.0,0,1,0
1777225649465000,1777225649307000,0,47.397742,8.545594099999999,0,94.2841,94.2841,-5240971.0,-951291.2,-97.10005,-97.10005,94.284195,94.284195,11653183000.0,383926430.0,-4.0,-4.0,0,1,0
