timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
1777225797849000,1777225797697000,-0.005679723,0.005596503,-0.037730288,-0.010500548,-0.0058079017,-0.0011860837,0.02507397,-0.0002851789,-0.00031465635,-0.00031971137,-0.00032468583,-0.00035281153,0.0010865461,0.0010783789,0.0010768909,0.0010754012,0.0010665054,6.989846e-06,0.0032350607,0.9941252,0.0026296526,3.061694e-06,1
1777225797857000,1777225797705000,-0.005679723,0.005596503,-0.037720792,-0.010491049,-0.005798403,-0.0011765852,0.025083466,-0.0002851789,-0.00031465635,-0.00031971137,-0.00032468583,-0.00035281153,0.0010865461,0.0010783789,0.0010768909,0.0010754012,0.0010665054,6.989846e-06,0.0032350607,0.9941252,0.0026296526,3.061694e-06,1
1777225797865000,1777225797713000,-0.005679723,0.005596503,-0.037780516,-0.010550768,-0.0058581224,-0.001236304,0.025023747,-0.0002851789,-0.00031465635,-0.00031971137,-0.00032468583,-0.00035281153,0.0010865461,0.0010783789,0.0010768909,0.0010754012,0.0010665054,6.989846e-06,0.0032350607,0.9941252,0.0026296526,3.061694e-06,1
1777225797873000,1777225797721000,-0.005807015,0.005600981,-0.037726257,-0.0104965065,-0.0058038593,-0.0011820409,0.025078012,0.00035386143,0.000331218,0.0003272926,0.00032341667,0.00030126912,0.000826834,0.0008361618,0.0008377073,0.00083921046,0.00084741344,6.989847e-06,0.003235061,0.9941253,0.002629653,3.0616945e-06,1
1777225797881000,1777225797729000,-0.005807015,0.005600981,-0.037748713,-0.010518969,-0.005826324,-0.0012045039,0.025055544,0.00035386143,0.000331218,0.0003272926,0.00032341667,0.00030126912,0.000826834,0.0008361618,0.0008377073,0.00083921046,0.00084741344,6.989847e-06,0.003235061,0.9941253,0.002629653,3.0616945e-06,1
1777225797889000,1777225797737000,-0.005807015,0.005600981,-0.03777117,-0.010541422,-0.005848779,-0.0012269592,0.0250331,0.00035386143,0.000331218,0.0003272926,0.00032341667,0.00030126912,0.000826834,0.0008361618,0.0008377073,0.00083921046,0.00084741344,6.989847e-06,0.003235061,0.9941253,0.002629653,3.0616945e-06,1
1777225797897000,1777225797745000,-0.005807015,0.005600981,-0.037802108,-0.010572358,-0.005879714,-0.0012578941,0.025002161,0.00035386143,0.000331218,0.0003272926,0.00032341667,0.00030126912,0.000826834,0.0008361618,0.0008377073,0.00083921046,0.00084741344,6.989847e-06,0.003235061,0.9941253,0.002629653,3.0616945e-06,1
1777225797905000,1777225797753000,-0.005807015,0.005600981,-0.037877787,-0.010648032,-0.0059553883,-0.0013335677,0.024926487,0.00035386143,0.000331218,0.0003272926,0.00032341667,0.00030126912,0.000826834,0.0008361618,0.0008377073,0.00083921046,0.00084741344,6.989847e-06,0.003235061,0.9941253,0.002629653,3.0616945e-06,1
1777225797913000,1777225797761000,-0.005807015,0.005600981,-0.037884213,-0.010654462,-0.0059618177,-0.001339997,0.024920054,0.00035386143,0.000331218,0.0003272926,0.00032341667,0.00030126912,0.000826834,0.0008361618,0.0008377073,0.00083921046,0.00084741344,6.989847e-06,0.003235061,0.9941253,0.002629653,3.0616945e-06,1
1777225797921000,1777225797769000,-0.00598101,0.0056048185,-0.037900247,-0.010670497,-0.005977853,-0.0013560337,0.024904015,0.00039561838,0.00038881408,0.00038761416,0.0003864216,0.00037949218,0.00024450888,0.00025518943,0.00025701165,0.00025879982,0.00026885717,6.989846e-06,0.0032350605,0.9941251,0.002629653,3.0616943e-06,1
1777225797929000,1777225797777000,-0.00598101,0.0056048185,-0.037884355,-0.010654602,-0.005961958,-0.0013401372,0.024919912,0.00039561838,0.00038881408,0.00038761416,0.0003864216,0.00037949218,0.00024450888,0.00025518943,0.00025701165,0.00025879982,0.00026885717,6.989846e-06,0.0032350605,0.9941251,0.002629653,3.0616943e-06,1
1777225797937000,1777225797785000,-0.00598101,0.0056048185,-0.03789825,-0.010668498,-0.0059758527,-0.0013540338,0.024906013,0.00039561838,0.00038881408,0.00038761416,0.0003864216,0.00037949218,0.00024450888,0.00025518943,0.00025701165,0.00025879982,0.00026885717,6.989846e-06,0.0032350605,0.9941251,0.002629653,3.0616943e-06,1
1777225797945000,1777225797793000,-0.00598101,0.0056048185,-0.037889805,-0.010660048,-0.005967404,-0.0013455839,0.02491447,0.00039561838,0.00038881408,0.00038761416,0.0003864216,0.00037949218,0.00024450888,0.00025518943,0.00025701165,0.00025879982,0.00026885717,6.989846e-06,0.0032350605,0.9941251,0.002629653,3.0616943e-06,1
1777225797953000,1777225797801000,-0.00598101,0.0056048185,-0.0379037,-0.0106739495,-0.0059813024,-0.0013594831,0.024900569,0.00039561838,0.00038881408,0.00038761416,0.0003864216,0.00037949218,0.00024450888,0.00025518943,0.00025701165,0.00025879982,0.00026885717,6.989846e-06,0.0032350605,0.9941251,0.002629653,3.0616943e-06,1
1777225797961000,1777225797809000,-0.00598101,0.0056048185,-0.037942138,-0.010712384,-0.006019738,-0.0013979173,0.024862135,0.00039561838,0.00038881408,0.00038761416,0.0003864216,0.00037949218,0.00024450888,0.00025518943,0.00025701165,0.00025879982,0.00026885717,6.989846e-06,0.0032350605,0.9941251,0.002629653,3.0616943e-06,1
1777225797969000,1777225797817000,-0.00598101,0.0056048185,-0.03794754,-0.010717785,-0.0060251383,-0.0014033192,0.024856735,0.00039561838,0.00038881408,0.00038761416,0.0003864216,0.00037949218,0.00024450888,0.00025518943,0.00025701165,0.00025879982,0.00026885717,6.989846e-06,0.0032350605,0.9941251,0.002629653,3.0616943e-06,1
1777225797977000,1777225797825000,-0.0060794945,0.0056092967,-0.03799874,-0.010768984,-0.006076338,-0.0014545196,0.024805535,0.0005798067,0.00056012766,0.00055669603,0.0005533015,0.00053379574,0.00071487733,0.0007303983,0.000733019,0.00073558354,0.0007498584,6.989847e-06,0.0032350612,0.9941253,0.0026296536,3.061695e-06,1
1777225797985000,1777225797833000,-0.0060794945,0.0056092967,-0.038022216,-0.010792465,-0.0060998197,-0.0014779989,0.024782058,0.0005798067,0.00056012766,0.00055669603,0.0005533015,0.00053379574,0.00071487733,0.0007303983,0.000733019,0.00073558354,0.0007498584,6.989847e-06,0.0032350612,0.9941253,0.0026296536,3.061695e-06,1
1777225797993000,1777225797841000,-0.0060794945,0.0056092967,-0.038040347,-0.01081059,-0.006117944,-0.0014961252,0.024763927,0.0005798067,0.00056012766,0.00055669603,0.0005533015,0.00053379574,0.00071487733,0.0007303983,0.000733019,0.00073558354,0.0007498584,6.989847e-06,0.0032350612,0.9941253,0.0026296536,3.061695e-06,1
1777225798001000,1777225797849000,-0.0060794945,0.0056092967,-0.03808618,-0.01085643,-0.0061637815,-0.0015419626,0.024718093,0.0005798067,0.00056012766,0.00055669603,0.0005533015,0.00053379574,0.00071487733,0.0007303983,0.000733019,0.00073558354,0.0007498584,6.989847e-06,0.0032350612,0.9941253,0.0026296536,3.061695e-06,1
1777225798009000,1777225797857000,-0.0060794945,0.0056092967,-0.038111795,-0.010882044,-0.0061893957,-0.0015675771,0.024692476,0.0005798067,0.00056012766,0.00055669603,0.0005533015,0.00053379574,0.00071487733,0.0007303983,0.000733019,0.00073558354,0.0007498584,6.989847e-06,0.0032350612,0.9941253,0.0026296536,3.061695e-06,1
1777225798017000,1777225797865000,-0.0060794945,0.0056092967,-0.03812677,-0.010897021,-0.0062043723,-0.0015825531,0.024677495,0.0005798067,0.00056012766,0.00055669603,0.0005533015,0.00053379574,0.00071487733,0.0007303983,0.000733019,0.00073558354,0.0007498584,6.989847e-06,0.0032350612,0.9941253,0.0026296536,3.061695e-06,1
1777225798025000,1777225797873000,-0.0062736124,0.0056131333,-0.038192846,-0.010963101,-0.006270456,-0.0016486373,0.024611415,0.00037895638,0.00035230423,0.00034768612,0.00034312776,0.000317095,0.0009737288,0.0009836853,0.000985328,0.0009869238,0.0009955934,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798033000,1777225797881000,-0.0062736124,0.0056131333,-0.038256794,-0.011027048,-0.0063344017,-0.0017125814,0.024547473,0.00037895638,0.00035230423,0.00034768612,0.00034312776,0.000317095,0.0009737288,0.0009836853,0.000985328,0.0009869238,0.0009955934,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798041000,1777225797889000,-0.0062736124,0.0056131333,-0.03830583,-0.011076086,-0.006383438,-0.001761618,0.024498427,0.00037895638,0.00035230423,0.00034768612,0.00034312776,0.000317095,0.0009737288,0.0009836853,0.000985328,0.0009869238,0.0009955934,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798049000,1777225797897000,-0.0062736124,0.0056131333,-0.038339958,-0.011110218,-0.00641757,-0.0017957499,0.024464298,0.00037895638,0.00035230423,0.00034768612,0.00034312776,0.000317095,0.0009737288,0.0009836853,0.000985328,0.0009869238,0.0009955934,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798057000,1777225797905000,-0.0062736124,0.0056131333,-0.038308028,-0.011078285,-0.006385636,-0.0017638173,0.02449623,0.00037895638,0.00035230423,0.00034768612,0.00034312776,0.000317095,0.0009737288,0.0009836853,0.000985328,0.0009869238,0.0009955934,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798065000,1777225797913000,-0.0062736124,0.0056131333,-0.03826224,-0.011032497,-0.006339849,-0.0017180291,0.024542015,0.00037895638,0.00035230423,0.00034768612,0.00034312776,0.000317095,0.0009737288,0.0009836853,0.000985328,0.0009869238,0.0009955934,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798073000,1777225797921000,-0.0062736124,0.0056131333,-0.03831446,-0.011084723,-0.006392072,-0.0017702539,0.024489796,0.00037895638,0.00035230423,0.00034768612,0.00034312776,0.000317095,0.0009737288,0.0009836853,0.000985328,0.0009869238,0.0009955934,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798081000,1777225797929000,-0.006470905,0.0056176106,-0.038390137,-0.011160398,-0.00646775,-0.0018459299,0.024414113,-0.00066980685,-0.0006885702,-0.0006917506,-0.0006948707,-0.0007123115,0.00069826294,0.00067976734,0.00067652925,0.000673324,0.0006548472,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
1777225798089000,1777225797937000,-0.006470905,0.0056176106,-0.03834863,-0.011118887,-0.006426238,-0.0018044178,0.02445563,-0.00066980685,-0.0006885702,-0.0006917506,-0.0006948707,-0.0007123115,0.00069826294,0.00067976734,0.00067652925,0.000673324,0.0006548472,6.989846e-06,0.0032350607,0.99412525,0.002629653,3.0616945e-06,1
