timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
1777225827833000,0.00073612004,-0.026024172,-0.0015011303,0.0,0.0,-0.49033973,0
1777225827849000,-0.0001197262,-0.02572741,-0.0014606485,0.0,0.0,-0.49030706,0
1777225827873000,-0.0007990364,-0.024759645,-0.0010259959,0.0,0.0,-0.49015948,0
1777225827893000,-0.00016315088,-0.022462275,-0.0008672145,0.0,0.0,-0.4900754,0
1777225827913000,-0.00015614541,-0.023343448,-0.0006347766,0.0,0.0,-0.49015808,0
1777225827933000,-0.0018079262,-0.020555262,-0.00045521546,0.0,0.0,-0.4901537,0
1777225827949000,-0.0022167144,0.034688853,-0.0005666983,0.0,0.0,-0.48984873,0
1777225827969000,-0.0021959695,-0.021269407,-0.0005461542,0.0,0.0,-0.49014592,0
1777225827993000,-0.004089089,-0.022291157,-0.00075520185,0.0,0.0,-0.4901386,0
1777225828009000,-0.0030060913,-0.0221022,-0.0007161916,0.0,0.0,-0.49004567,0
1777225828029000,-0.0021893736,0.032338575,-0.00067623146,0.0,0.0,-0.4897764,0
1777225828049000,-0.0027878932,-0.023701815,-1.3778503e-05,0.0,0.0,-0.49010167,0
1777225828073000,-0.0027163348,-0.024955887,0.00025179272,0.0,0.0,-0.4901203,0
1777225828093000,-0.0040361416,-0.023146616,0.0006637984,0.0,0.0,-0.490112,0
1777225828109000,-0.0059451344,0.03531622,0.00050541415,0.0,0.0,-0.48981917,0
1777225828133000,-0.006085614,-0.021452913,7.698619e-05,0.0,0.0,-0.4901397,0
1777225828153000,-0.007431426,-0.020388717,-0.00035657524,0.0,0.0,-0.49027228,0
1777225828169000,-0.0071200687,-0.019349009,-0.00060721644,0.0,0.0,-0.4903134,0
1777225828189000,-0.0069707762,0.035238788,-0.000751516,0.0,0.0,-0.49004623,0
1777225828213000,-0.0067460206,-0.020018468,-0.0007580042,0.0,0.0,-0.49027115,0
1777225828229000,-0.0066592107,0.03839622,-0.00043438625,0.0,0.0,-0.48998305,0
1777225828253000,-0.004833174,-0.018136239,-0.0010472881,0.0,0.0,-0.4905133,0
1777225828269000,-0.0044854204,0.038904395,-0.0009310624,0.0,0.0,-0.49029282,0
1777225828293000,-0.0049591865,-0.017607907,-0.000610178,0.0,0.0,-0.4905663,0
1777225828309000,-0.004295312,0.038101498,-0.00035134726,0.0,0.0,-0.49033463,0
1777225828333000,-0.0033237338,-0.018799461,-9.752662e-05,0.0,0.0,-0.4906841,0
1777225828353000,-0.0037883874,-0.020286033,-0.00019031888,0.0,0.0,-0.49060574,0
1777225828369000,-0.0035255938,-0.019877398,-0.000121408215,0.0,0.0,-0.49058804,0
1777225828389000,-0.001732957,0.03250034,0.00012176473,0.0,0.0,-0.49041602,0
1777225828409000,-0.0018379618,-0.026404126,0.00021758853,0.0,0.0,-0.49074814,0
1777225828429000,-0.0029304211,0.030482197,0.0001721846,0.0,0.0,-0.49040803,0
1777225828453000,-0.0036478047,-0.025758617,-6.432524e-05,0.0,0.0,-0.49063322,0
1777225828473000,-0.003968098,-0.02572884,-0.0005057026,0.0,0.0,-0.4905936,0
1777225828489000,-0.0015989831,-0.025076685,-0.0005433235,0.0,0.0,-0.49071723,0
1777225828509000,-0.0030558577,0.029850043,-0.00078874995,0.0,0.0,-0.49050978,0
1777225828533000,-0.0012047432,-0.024543056,-0.00076203607,0.0,0.0,-0.49085844,0
1777225828549000,-0.0026869688,0.030648697,-0.00056178647,0.0,0.0,-0.49063176,0
1777225828569000,-0.0022599087,-0.026168594,-0.0004677053,0.0,0.0,-0.4909142,0
1777225828589000,-0.0028089015,0.03010855,-0.00073387066,0.0,0.0,-0.4904968,0
1777225828609000,-0.0039288118,-0.025510458,-0.0009941164,0.0,0.0,-0.49070618,0
1777225828633000,-0.004047264,-0.024551675,-0.0009123289,0.0,0.0,-0.4908058,0
1777225828649000,-0.0032896302,-0.022588978,-0.0009131082,0.0,0.0,-0.49097812,0
1777225828669000,-0.00092895736,0.03223011,-0.00065508153,0.0,0.0,-0.49087042,0
1777225828693000,-0.001641381,-0.021288613,-0.0010433736,0.0,0.0,-0.49122736,0
