timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
1777226224765000,1777226224741000,6620172,487.86807,95600.72,15.0,1.1556048,0,1
1777226224817000,1777226224793000,6620172,487.87744,95600.62,15.0,1.1556035,0,1
1777226224869000,1777226224845000,6620172,487.9197,95600.11,15.0,1.1555974,0,1
1777226224921000,1777226224897000,6620172,487.85867,95600.8,15.0,1.1556058,0,1
1777226224973000,1777226224949000,6620172,487.85397,95600.875,15.0,1.1556067,0,1
1777226225025000,1777226225001000,6620172,487.86337,95600.75,15.0,1.1556052,0,1
1777226225077000,1777226225053000,6620172,487.89624,95600.39,15.0,1.1556009,0,1
1777226225129000,1777226225105000,6620172,487.85867,95600.83,15.0,1.155606,0,1
1777226225181000,1777226225157000,6620172,487.86337,95600.76,15.0,1.1556052,0,1
1777226225233000,1777226225209000,6620172,487.81174,95601.34,15.0,1.1556123,0,1
1777226225285000,1777226225261000,6620172,487.8305,95601.13,15.0,1.1556097,0,1
1777226225337000,1777226225313000,6620172,487.87744,95600.63,15.0,1.1556038,0,1
1777226225389000,1777226225365000,6620172,487.9056,95600.29,15.0,1.1555996,0,1
1777226225441000,1777226225417000,6620172,487.86337,95600.75,15.0,1.1556052,0,1
1777226225493000,1777226225469000,6620172,487.85867,95600.8,15.0,1.1556058,0,1
1777226225545000,1777226225521000,6620172,487.86807,95600.71,15.0,1.1556047,0,1
1777226225597000,1777226225573000,6620172,487.96664,95599.57,15.0,1.1555909,0,1
1777226225649000,1777226225625000,6620172,487.9197,95600.125,15.0,1.1555976,0,1
1777226225701000,1777226225677000,6620172,487.9291,95600.0,15.0,1.1555961,0,1
1777226225753000,1777226225729000,6620172,487.85867,95600.83,15.0,1.155606,0,1
1777226225805000,1777226225781000,6620172,487.87277,95600.64,15.0,1.1556039,0,1
1777226225857000,1777226225833000,6620172,487.85867,95600.8,15.0,1.1556058,0,1
1777226225909000,1777226225885000,6620172,487.9056,95600.25,15.0,1.1555991,0,1
1777226225961000,1777226225937000,6620172,487.88214,95600.555,15.0,1.1556028,0,1
1777226226013000,1777226225989000,6620172,487.84927,95600.88,15.0,1.1556069,0,1
1777226226065000,1777226226041000,6620172,487.8211,95601.266,15.0,1.1556114,0,1
1777226226117000,1777226226093000,6620172,487.8352,95601.09,15.0,1.1556094,0,1
1777226226169000,1777226226145000,6620172,487.88214,95600.54,15.0,1.1556026,0,1
1777226226221000,1777226226197000,6620172,487.87744,95600.63,15.0,1.1556038,0,1
1777226226273000,1777226226249000,6620172,487.86337,95600.75,15.0,1.1556052,0,1
1777226226325000,1777226226301000,6620172,487.88214,95600.53,15.0,1.1556026,0,1
1777226226377000,1777226226353000,6620172,487.86337,95600.74,15.0,1.1556051,0,1
1777226226429000,1777226226405000,6620172,487.84457,95600.945,15.0,1.1556076,0,1
1777226226481000,1777226226457000,6620172,487.84457,95600.96,15.0,1.1556078,0,1
1777226226533000,1777226226509000,6620172,487.89154,95600.414,15.0,1.1556011,0,1
1777226226585000,1777226226561000,6620172,487.9291,95600.01,15.0,1.1555963,0,1
1777226226637000,1777226226613000,6620172,487.88684,95600.51,15.0,1.1556022,0,1
1777226226689000,1777226226665000,6620172,487.8399,95601.01,15.0,1.1556083,0,1
1777226226741000,1777226226717000,6620172,487.8258,95601.16,15.0,1.1556101,0,1
1777226226793000,1777226226769000,6620172,487.85867,95600.805,15.0,1.1556059,0,1
1777226226845000,1777226226821000,6620172,487.85397,95600.86,15.0,1.1556065,0,1
1777226226897000,1777226226873000,6620172,487.84457,95600.99,15.0,1.155608,0,1
1777226226949000,1777226226925000,6620172,487.8258,95601.195,15.0,1.1556106,0,1
1777226227001000,1777226226977000,6620172,487.85867,95600.83,15.0,1.155606,0,1
1777226227053000,1777226227029000,6620172,487.86337,95600.766,15.0,1.1556053,0,1
1777226227105000,1777226227081000,6620172,487.84457,95600.945,15.0,1.1556076,0,1
1777226227157000,1777226227133000,6620172,487.8399,95601.055,15.0,1.1556088,0,1
1777226227209000,1777226227185000,6620172,487.8258,95601.195,15.0,1.1556106,0,1
1777226227261000,1777226227237000,6620172,487.8258,95601.18,15.0,1.1556104,0,1
1777226227313000,1777226227289000,6620172,487.8399,95601.055,15.0,1.1556088,0,1
1777226227365000,1777226227341000,6620172,487.86337,95600.76,15.0,1.1556052,0,1
1777226227417000,1777226227393000,6620172,487.86807,95600.695,15.0,1.1556045,0,1
1777226227469000,1777226227445000,6620172,487.86337,95600.76,15.0,1.1556052,0,1
1777226227521000,1777226227497000,6620172,487.87744,95600.63,15.0,1.1556038,0,1
1777226227573000,1777226227549000,6620172,487.85867,95600.84,15.0,1.1556063,0,1
1777226227625000,1777226227601000,6620172,487.89154,95600.43,15.0,1.1556013,0,1
1777226227677000,1777226227653000,6620172,487.8258,95601.18,15.0,1.1556104,0,1
1777226227729000,1777226227705000,6620172,487.87744,95600.586,15.0,1.1556032,0,1
