timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
1777225953269000,1777225953269000,0.47621396,0.47931206,0.46986607,0.48407573,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953369000,1777225953369000,0.4758876,0.48068964,0.48039895,0.47641945,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953469000,1777225953469000,0.47838292,0.47914478,0.47989222,0.47793016,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953569000,1777225953569000,0.48238897,0.4782825,0.4827191,0.47667435,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953669000,1777225953669000,0.4832869,0.47801632,0.4821893,0.4773102,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953769000,1777225953769000,0.48157996,0.48299465,0.48285595,0.48120338,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953869000,1777225953869000,0.48244438,0.4823346,0.48012,0.48397776,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953969000,1777225953969000,0.48712367,0.47875133,0.48692453,0.47943977,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954069000,1777225954069000,0.4836835,0.48336712,0.48415345,0.48319757,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954169000,1777225954169000,0.48687842,0.48274434,0.4845209,0.48401365,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954269000,1777225954269000,0.4864538,0.48280922,0.4884203,0.480945,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954369000,1777225954369000,0.48552614,0.48549807,0.4843549,0.48492968,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954469000,1777225954469000,0.48782995,0.481516,0.48443225,0.48501927,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954569000,1777225954569000,0.48752975,0.4824818,0.48616132,0.48386413,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954669000,1777225954669000,0.4841775,0.48537138,0.48455927,0.48556563,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954769000,1777225954769000,0.48331594,0.48765668,0.4857034,0.48603067,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954869000,1777225954869000,0.48425356,0.48683083,0.48276025,0.48886195,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225954969000,1777225954969000,0.48582217,0.48753873,0.48735964,0.48547566,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955069000,1777225955069000,0.4848449,0.4882348,0.48522606,0.48749742,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955169000,1777225955169000,0.48510975,0.48849156,0.48386955,0.4898471,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955269000,1777225955269000,0.46562806,0.4675992,0.4681978,0.46857518,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955369000,1777225955369000,0.4460909,0.4450473,0.4448528,0.446152,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955469000,1777225955469000,0.42553633,0.4312613,0.42745695,0.4281921,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955569000,1777225955569000,0.4067535,0.4043252,0.40820432,0.40174147,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955669000,1777225955669000,0.39417222,0.38595676,0.39247906,0.38669512,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955769000,1777225955769000,0.36667326,0.36344114,0.3679366,0.36274093,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955869000,1777225955869000,0.3761897,0.3738736,0.37550044,0.37393355,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225955969000,1777225955969000,0.39193004,0.3936525,0.38769555,0.39467847,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956069000,1777225956069000,0.4152096,0.4179285,0.41309008,0.4187885,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956169000,1777225956169000,0.42707065,0.43611658,0.43069753,0.43394744,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956269000,1777225956269000,0.458477,0.4496041,0.454473,0.453946,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956369000,1777225956369000,0.47051564,0.4721492,0.47102082,0.4702125,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956469000,1777225956469000,0.48882553,0.49606064,0.4900525,0.49388775,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956569000,1777225956569000,0.48783514,0.49068165,0.48834208,0.48932147,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225956669000,1777225956669000,0.49410367,0.48654398,0.49372604,0.48755765,nan,nan,nan,nan,nan,nan,nan,nan,0
