timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
1777318673135000,1777318673135000,0.49097708,2.1725066e-06,0.014248369,1.0008677,2.2537779e-05,1.0,1
1777318673231000,1777318673231000,0.49097678,2.15999e-06,2.0682783e-05,1.0008625,4.7489877e-11,1.0,1
1777318673335000,1777318673335000,0.49098885,2.146702e-06,0.006408139,1.0008583,4.5587813e-06,1.0,1
1777318673431000,1777318673431000,0.49099326,2.1346805e-06,-0.043270838,1.0008535,0.00020786318,1.0,1
1777318673535000,1777318673535000,0.49099723,2.1219514e-06,-0.0009257272,1.0008473,9.513837e-08,1.0,1
1777318673631000,1777318673631000,0.490992,2.1104504e-06,0.062430386,1.000842,0.00043269712,1.0,1
1777318673735000,1777318673735000,0.49096116,2.0983296e-06,0.09336661,1.0008335,0.00096778484,1.0,1
1777318673831000,1777318673831000,0.4908906,2.0875016e-06,0.1834912,1.0008228,0.0037379267,1.0,1
1777318673927000,1777318673927000,0.49080113,2.0770651e-06,0.15655132,1.000811,0.0027209395,1.0,1
1777318674031000,1777318674031000,0.49070972,2.066158e-06,0.16572942,1.0008014,0.0030493606,1.0,1
1777318674135000,1777318674135000,0.49061826,2.0555938e-06,0.13121018,1.0007933,0.0019113848,1.0,1
1777318674231000,1777318674231000,0.4905186,2.0461243e-06,0.19689263,1.0007857,0.0043040304,1.0,1
1777318674335000,1777318674335000,0.49043038,2.0361501e-06,0.12053497,1.0007805,0.0016130389,1.0,1
1777318674431000,1777318674431000,0.4903774,2.0271034e-06,0.08527893,1.0007793,0.0008074259,1.0,1
1777318674535000,1777318674535000,0.49033165,2.017405e-06,0.055822745,1.0007787,0.00034597272,1.0,1
1777318674631000,1777318674631000,0.49029905,2.0085456e-06,0.11092223,1.0007788,0.0013660186,1.0,1
1777318674727000,1777318674727000,0.4902682,1.9997851e-06,0.08440125,1.000778,0.0007908926,1.0,1
1777318674831000,1777318674831000,0.49022755,1.9904262e-06,0.0674422,1.0007758,0.00050499156,1.0,1
1777318674935000,1777318674935000,0.4901977,1.9812098e-06,0.0003655702,1.0007746,1.4837569e-08,1.0,1
1777318675031000,1777318675031000,0.4901743,1.9727997e-06,0.014350295,1.0007739,2.2863522e-05,1.0,1
1777318675135000,1777318675135000,0.4901525,1.96379e-06,0.042644653,1.0007732,0.00020190682,1.0,1
1777318675231000,1777318675231000,0.4901392,1.9555791e-06,0.013827477,1.0007721,2.1227954e-05,1.0,1
1777318675327000,1777318675327000,0.4901247,1.9474792e-06,-0.01871571,1.0007704,3.888979e-05,1.0,1
