timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
1777225950161000,1777225950161000,197388,0.20582464,-0.00045304673,0.4392903,0
1777225950293000,1777225950229000,197388,0.21410835,0.004186103,0.43125176,0
1777225950297000,1777225950297000,197388,0.21175778,0.00020333951,0.42720112,0
1777225950429000,1777225950365000,197388,0.21329857,0.0026753347,0.42936152,0
1777225950433000,1777225950433000,197388,0.2220396,0.009399501,0.4285881,0
1777225950565000,1777225950501000,197388,0.21396872,0.004723225,0.42961338,0
1777225950569000,1777225950569000,197388,0.21044995,0.0069397828,0.43287027,0
1777225950701000,1777225950637000,197388,0.21472354,0.0045282734,0.4312667,0
1777225950705000,1777225950705000,197388,0.21175106,-0.006832774,0.4225765,0
1777225950837000,1777225950773000,197388,0.2139169,0.006029597,0.42950374,0
1777225950841000,1777225950841000,197388,0.20987546,0.0057920213,0.4372458,0
1777225950973000,1777225950909000,197388,0.21484536,0.0029756355,0.43055215,0
1777225950977000,1777225950977000,197388,0.20712309,-0.00658233,0.43329477,0
1777225951109000,1777225951045000,197388,0.21344155,0.005470801,0.43121442,0
1777225951113000,1777225951113000,197388,0.20989488,-0.0011932668,0.43855837,0
1777225951245000,1777225951181000,197388,0.21344148,0.006505885,0.430946,0
1777225951249000,1777225951249000,197388,0.22025356,-0.007860221,0.4282832,0
1777225951381000,1777225951317000,197388,0.21323387,0.004129285,0.43006253,0
1777225951385000,1777225951385000,197388,0.21836294,0.010598829,0.42185488,0
1777225951517000,1777225951453000,197388,0.21494122,0.004598499,0.43024835,0
1777225951521000,1777225951521000,197388,0.21485542,0.010124656,0.43172044,0
1777225951653000,1777225951589000,197388,0.21322852,0.00582307,0.4314387,0
1777225951657000,1777225951657000,197388,0.21347131,0.0054173935,0.4316104,0
1777225951789000,1777225951725000,197388,0.21646012,0.0045464346,0.43017632,0
1777225951793000,1777225951793000,197388,0.21186434,-0.0058121346,0.42569873,0
1777225951925000,1777225951861000,197388,0.21544003,0.0054056854,0.42978328,0
1777225951929000,1777225951929000,197388,0.20819087,0.007722002,0.4255918,0
1777225952061000,1777225951997000,197388,0.21597582,0.004774442,0.4299798,0
1777225952065000,1777225952065000,197388,0.21787494,0.005323748,0.4354846,0
1777225952197000,1777225952133000,197388,0.21680725,0.003986499,0.43018395,0
1777225952201000,1777225952201000,197388,0.22034451,0.009527622,0.43818948,0
1777225952333000,1777225952269000,197388,0.21499062,0.0053976593,0.4292041,0
1777225952337000,1777225952337000,197388,0.21793063,0.0013940722,0.4291618,0
1777225952469000,1777225952405000,197388,0.21609446,0.0039843805,0.4294953,0
1777225952473000,1777225952473000,197388,0.2145427,-0.0008362083,0.42785865,0
