timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1777318637619000,0.0,0.0,0.0,0.0
1777318637815000,0.0,0.0,0.0,0.0
1777318638019000,0.0,0.0,0.0,0.0
1777318638219000,0.0,0.0,0.0,0.0
1777318638419000,0.0,0.0,0.0,0.0
1777318638619000,0.0,0.0,0.0,0.0
1777318638819000,0.0,0.0,0.0,0.0
1777318639019000,0.0,0.0,0.0,0.0
1777318639219000,0.0,0.0,0.0,0.0
1777318639419000,0.0,0.0,0.0,0.0
1777318639619000,0.0,0.0,0.0,0.0
1777318639819000,0.0,0.0,0.0,0.0
1777318640019000,0.0,0.0,0.0,0.0
1777318640215000,0.0,0.0,0.0,0.0
1777318640415000,0.0,0.0,0.0,0.0
1777318640615000,0.0,0.0,0.0,0.0
1777318640819000,0.0,0.0,0.0,0.0
1777318641019000,0.0,0.0,0.0,0.0
1777318641219000,0.0,0.0,0.0,0.0
1777318641419000,0.0,0.0,0.0,0.0
1777318641619000,0.0,0.0,0.0,0.0
1777318641819000,0.0,0.0,0.0,0.0
1777318642019000,0.0,0.0,0.0,0.0
1777318642215000,0.0,0.0,0.0,0.0
1777318642415000,0.0,0.0,0.0,0.0
1777318642619000,0.0,0.0,0.0,0.0
1777318642819000,0.0,0.0,0.0,0.0
1777318643015000,0.0,0.0,0.0,0.0
1777318643215000,0.0,0.0,0.0,0.0
1777318643419000,0.0,0.0,0.0,0.0
1777318643619000,0.0,0.0,0.0,0.0
1777318643819000,0.0,0.0,0.0,0.0
1777318644019000,0.0,0.0,0.0,0.0
1777318644219000,0.0,0.0,0.0,0.0
1777318644415000,0.0,0.0,0.0,0.0
1777318644619000,0.0,0.0,0.0,0.0
1777318644815000,0.0,0.0,0.0,0.0
1777318645019000,0.0,0.0,0.0,0.0
1777318645215000,0.0,0.0,0.0,0.0
1777318645419000,0.0,0.0,0.0,0.0
1777318645619000,0.0,0.0,0.0,0.0
1777318645815000,0.0,0.0,0.0,0.0
1777318646019000,0.0,0.0,0.0,0.0
1777318646215000,0.0,0.0,0.0,0.0
1777318646419000,0.0,0.0,0.0,0.0
1777318646619000,0.0,0.0,0.0,0.0
1777318646819000,0.0,0.0,0.0,0.0
1777318647019000,0.0,0.0,0.0,0.0
1777318647219000,0.0,0.0,0.0,0.0
1777318647419000,0.0,0.0,0.0,0.0
1777318647615000,0.0,0.0,0.0,0.0
1777318647815000,0.0,0.0,0.0,0.0
1777318648019000,0.0,0.0,0.0,0.0
1777318648219000,0.0,0.0,0.0,0.0
1777318648419000,0.0,0.0,0.0,0.0
1777318648619000,0.0,0.0,0.0,0.0
1777318648819000,0.0,0.0,0.0,0.0
1777318649019000,0.0,0.0,0.0,0.0
1777318649219000,0.0,0.0,0.0,0.0
1777318649419000,0.0,0.0,0.0,0.0
1777318649619000,0.0,0.0,0.0,0.0
1777318649819000,0.0,0.0,0.0,0.0
1777318650019000,0.0,0.0,0.0,0.0
1777318650219000,0.0,0.0,0.0,0.0
1777318650419000,0.0,0.0,0.0,0.0
1777318650619000,0.0,0.0,0.0,0.0
1777318650819000,0.0,0.0,0.0,0.0
1777318651015000,0.0,0.0,0.0,0.0
1777318651219000,0.0,0.0,0.0,0.0
1777318651419000,0.0,0.0,0.0,0.0
1777318651619000,0.0,0.0,0.0,0.0
1777318651819000,0.0,0.0,0.0,0.0
1777318652019000,0.0,0.0,0.0,0.0
1777318652219000,0.0,0.0,0.0,0.0
1777318652419000,0.0,0.0,0.0,0.0
1777318652619000,0.0,0.0,0.0,0.0
1777318652819000,0.0,0.0,0.0,0.0
1777318653015000,0.0,0.0,0.0,0.0
1777318653219000,0.0,0.0,0.0,0.0
