timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
1777318627951000,1777318627951000,6620172,488.13098,0.0,95597.69,1.1358587,0
1777318628047000,1777318628001000,6620172,488.06995,0.0,95598.41,1.1358672,0
1777318628051000,1777318628051000,6620172,488.27652,0.0,95596.02,1.1358389,0
1777318628151000,1777318628151000,6620172,487.97134,0.0,95599.51,1.1358804,0
1777318628247000,1777318628201000,6620172,488.07935,0.0,95598.27,1.1358657,0
1777318628251000,1777318628251000,6620172,488.17795,0.0,95597.17,1.1358526,0
1777318628351000,1777318628351000,6620172,488.04648,0.0,95598.64,1.13587,0
1777318628447000,1777318628401000,6620172,488.12158,0.0,95597.78,1.1358598,0
1777318628451000,1777318628451000,6620172,488.1028,0.0,95597.98,1.1358621,0
1777318628547000,1777318628501000,6620172,488.0887,0.0,95598.16,1.1358643,0
1777318628551000,1777318628551000,6620172,488.07465,0.0,95598.34,1.1358665,0
1777318628647000,1777318628601000,6620172,488.08405,0.0,95598.22,1.135865,0
1777318628651000,1777318628651000,6620172,488.20612,0.0,95596.8,1.135848,0
1777318628747000,1777318628701000,6620172,488.04648,0.0,95598.68,1.1358705,0
1777318628751000,1777318628751000,6620172,487.99484,0.0,95599.24,1.1358771,0
1777318628847000,1777318628801000,6620172,488.0887,0.0,95598.19,1.1358646,0
1777318628851000,1777318628851000,6620172,488.06995,0.0,95598.4,1.1358671,0
1777318628947000,1777318628901000,6620172,488.05588,0.0,95598.54,1.1358688,0
1777318628951000,1777318628951000,6620172,488.25775,0.0,95596.266,1.1358418,0
1777318629047000,1777318629001000,6620172,488.07935,0.0,95598.28,1.1358657,0
1777318629051000,1777318629051000,6620172,488.26715,0.0,95596.11,1.1358399,0
1777318629147000,1777318629101000,6620172,488.06995,0.0,95598.414,1.1358674,0
1777318629151000,1777318629151000,6620172,487.96198,0.0,95599.65,1.135882,0
1777318629247000,1777318629201000,6620172,488.05588,0.0,95598.555,1.1358689,0
1777318629251000,1777318629251000,6620172,488.05588,0.0,95598.56,1.135869,0
1777318629347000,1777318629301000,6620172,488.07465,0.0,95598.305,1.1358659,0
1777318629351000,1777318629351000,6620172,488.24365,0.0,95596.39,1.1358433,0
1777318629447000,1777318629401000,6620172,488.08405,0.0,95598.24,1.1358652,0
1777318629451000,1777318629451000,6620172,488.19672,0.0,95596.97,1.1358501,0
1777318629547000,1777318629501000,6620172,488.07935,0.0,95598.26,1.1358654,0
1777318629551000,1777318629551000,6620172,488.22958,0.0,95596.57,1.1358454,0
